,Country,Average yearly temperature (1961–1990 Celsius)
0,Burkina Faso,28.29
1,Mali,28.25
2,Kiribati,28.20
3,Djibouti,28.00
4,Maldives,28.00
5,Senegal,27.85
6,Mauritania,27.65
7,Tuvalu,27.65
8,Palau,27.60
9,Benin,27.55
10,Gambia,27.50
11,Marshall Islands,27.40
12,Ghana,27.20
13,Kuwait,27.15
14,Niger,27.15
15,Qatar,27.15
16,Seychelles,27.15
17,Togo,27.15
18,Somalia,27.05
19,Nigeria,27.00
20,Sri Lanka,26.95
21,Sudan,26.90
22,Brunei,26.85
23,Cambodia,26.80
24,Bahrain,26.80
25,Saint Vincent and the Grenadines,26.80
26,Guinea-Bissau,26.75
27,Samoa,26.70
28,United Arab Emirates,26.65
29,Chad,26.55
30,Singapore,26.45
31,Ivory Coast,26.35
32,Thailand,26.30
33,Sierra Leone,26.05
34,Grenada,26.00
35,Barbados,26.00
36,Guyana,26.00
37,Indonesia,25.85
38,Federated States of Micronesia,25.85
39,Antigua and Barbuda,25.85
40,Trinidad and Tobago,25.75
41,Guinea,25.70
42,Suriname,25.70
43,Solomon Islands,25.65
44,Oman,25.60
45,Philippines,25.55
46,Eritrea,25.50
47,Saint Lucia,25.50
48,Malaysia,25.40
49,Panama,25.40
50,Belize,25.35
51,Comoros,25.30
52,Venezuela,25.35
53,Liberia,25.30
54,Timor-Leste,25.25
55,Papua New Guinea,25.25
56,Tonga,25.25
57,Cuba,25.20
58,Gabon,25.05
59,Bangladesh,25.00
60,Brazil,24.95
61,Jamaica,24.95
62,Central African Republic,24.90
63,Haiti,24.90
64,Nicaragua,24.90
65,Bahamas,24.85
66,Costa Rica,24.80
67,Kenya,24.75
68,Saudi Arabia,24.65
69,Cameroon,24.60
70,Republic of the Congo,24.55
71,Dominican Republic,24.55
72,Equatorial Guinea,24.55
73,Colombia,24.50
74,Saint Kitts and Nevis,24.50
75,Vietnam,24.45
76,El Salvador,24.45
77,Fiji,24.40
78,Democratic Republic of the Congo,24.00
79,Vanuatu,23.95
80,Yemen,23.85
81,Mozambique,23.80
82,São Tomé and Príncipe,23.75
83,India,23.65
84,Paraguay,23.55
85,Honduras,23.50
86,Guatemala,23.45
87,Cape Verde,23.30
88,Laos,22.80
89,Uganda,22.80
90,Madagascar,22.65
91,Algeria,22.50
92,Mauritius,22.40
93,Dominica,22.35
94,Tanzania,22.35
95,Ethiopia,22.20
96,Egypt,22.10
97,Malawi,21.90
98,Ecuador,21.85
99,Libya,21.80
100,Australia,21.65
101,Angola,21.55
102,Bolivia,21.55
103,Botswana,21.50
104,Hong Kong,21.45
105,Iraq,21.40
106,Eswatini,21.40
107,Zambia,21.40
108,Mexico,21.00
109,Zimbabwe,21.00
110,Pakistan,20.20
111,Namibia,19.95
112,Burundi,19.80
113,Peru,19.60
114,New Zealand,19.53
115,Israel,19.20
116,Malta,19.20
117,Tunisia,19.20
118,Cyprus,18.45
119,Jordan,18.30
120,Rwanda,17.85
121,South Africa,17.75
122,Syria,17.75
123,Uruguay,17.55
124,Iran,17.25
125,Morocco,17.10
126,Greece,15.40
127,Portugal,15.15
128,Turkmenistan,15.10
129,Lebanon,15.00
130,Argentina,14.80
131,Monaco,13.55
132,Italy,13.45
133,Spain,13.30
134,Myanmar,13.05
135,Afghanistan,12.60
136,Uzbekistan,12.05
137,Azerbaijan,11.95
138,Lesotho,11.85
139,San Marino,11.85
140,South Korea,11.50
141,Albania,11.40
142,Japan,11.15
143,Croatia,10.90
144,France,10.70
145,Montenegro,10.55
146,Bulgaria,10.55
147,Serbia,10.55
148,Turkey,09.90
149,Bosnia and Herzegovina,09.85
150,North Macedonia,09.80
151,Hungary,09.75
152,Belgium,09.55
153,Moldova,09.45
154,Ireland,09.30
155,Netherlands,09.25
156,Slovenia,08.90
157,Romania,08.80
158,Luxembourg,08.65
159,United States,08.55
160,United Kingdom,08.45
161,Chile,08.45
162,Germany,08.40
163,Ukraine,08.30
164,Nepal,08.10
165,Poland,07.85
166,Andorra,07.60
167,Czech Republic,07.55
168,China,07.50
169,Bhutan,07.40
170,Armenia,07.15
171,Slovakia,06.80
172,Tajikistan,06.40
173,Austria,06.35
174,Lithuania,06.20
175,Belarus,06.15
176,Liechtenstein,05.80
177,North Korea,05.70
178,Georgia,05.65
179,Latvia,05.60
180,Kazakhstan,05.50
181,Switzerland,05.10
182,Kyrgyzstan,02.10
183,Estonia,02.00
184,Sweden,01.75
185,Mongolia,01.70
186,Finland,01.55
187,Norway [note 1],01.50
188,Iceland,−0.70
189,Denmark [note 2],−3.70
190,Canada,−5.10
191,Russia,−5.35
