,Country/Territory,UN region,IMF[1][13],IMF[1][13],World Bank[14],World Bank[14],United Nations[15],United Nations[15]
,Country/Territory,UN region,Estimate,Year,Estimate,Year,Estimate,Year
0,World,—,105568776,2023,96513077,2021,85328323,2020
1,United States,Americas,26854599,2023,22996100,2021,23315081,2021
2,China,Asia,19373586,[n 1]2023,17734063,[n 3]2021,17734131,[n 1]2021
3,Japan,Asia,4409738,2023,4937422,2021,4940878,2021
4,Germany,Europe,4308854,2023,4223116,2021,4259935,2021
5,India,Asia,3736882,2023,3173398,2021,3201471,2021
6,United Kingdom,Europe,3158938,2023,3186860,2021,3131378,2021
7,France,Europe,2923489,2023,2937473,2021,2957880,2021
8,Italy,Europe,2169745,2023,2107703,2021,2107703,2021
9,Canada,Americas,2089672,2023,1988336,2021,1988336,2021
10,Brazil,Americas,2081235,2023,1608981,2021,1608981,2021
11,Russia,Europe,2062649,2023,1775800,2021,1778782,2021
12,South Korea,Asia,1721909,2023,1798534,2021,1810966,2021
13,Australia,Oceania,1707548,2023,1542660,2021,1734532,2021
14,Mexico,Americas,1663164,2023,1293038,2021,1272839,2021
15,Spain,Europe,1492432,2023,1425277,2021,1427381,2021
16,Indonesia,Asia,1391778,2023,1186093,2021,1186093,2021
17,Netherlands,Europe,1080880,2023,1018007,2021,1012847,2021
18,Saudi Arabia,Asia,1061902,2023,833541,2021,833541,2021
19,Turkey,Asia,1029303,2023,815272,2021,819034,2021
20,Switzerland,Europe,869601,2023,812867,2021,812867,2021
21,Taiwan,Asia,790728,[n 4]2023,—,—,669324,[16]2020
22,Poland,Europe,748887,2023,674048,2021,596618,2020
23,Argentina,Americas,641102,2023,491493,2021,383067,2020
24,Belgium,Europe,624248,2023,599879,2021,521861,2020
25,Sweden,Europe,599052,2023,627438,2021,541064,2020
26,Ireland,Europe,594095,2023,498560,2021,425889,2020
27,Thailand,Asia,574231,2023,505982,2021,501795,2020
28,Norway,Europe,554105,2023,482437,2021,362522,2020
29,Israel,Asia,539223,2023,481591,2021,407101,2020
30,Singapore,Asia,515548,2023,396987,2021,339988,2020
31,Austria,Europe,515199,2023,477083,2021,433258,2020
32,Nigeria,Africa,506601,2023,440777,2021,429899,2020
33,United Arab Emirates,Asia,498978,2023,358869,2021,358869,2020
34,Vietnam,Asia,449094,2023,362638,2021,271158,2020
35,Malaysia,Asia,447026,2023,372701,2021,336664,2020
36,Philippines,Asia,440901,2023,394086,2021,361489,2020
37,Bangladesh,Asia,420516,2023,416265,2021,329484,2020
38,Denmark,Europe,405626,2023,397104,2021,356085,2020
39,South Africa,Africa,399015,2023,419946,2021,302141,2020
