,ano,valor original,0%,1%,2%,3%,4%
0,2007,7372300.0,,,,,
1,2008,21608500.0,,,,,
2,2009,39490476.0,,,,,
3,2010,44681082.0,,,,,
4,2011,51911322.0,,,,,
5,2012,62953908.0,,,,,
6,2013,108443598.0,,,,,
7,2014,123389188.0,,,,,
8,2015,128927508.0,,,,,
9,2016,137796916.0,,,,,
10,2017,152068130.0,,,,,
11,2018,167040256.0,,,,,
12,2019,178909908.0,,,,,
13,2020,191066484.0,,,,,
14,2021,210770368.0,210770368.0,210770368.0,210770368.0,210770368.0,210770368.0
15,2022,,210770368.0,221521775.03127548,232707517.1921996,244340623.25307035,256434379.96711612
16,2023,,210770368.0,232821611.87386182,256927902.49224153,283257749.8355882,311991632.66213626
17,2024,,210770368.0,244697853.9599103,283669164.9481253,328373365.7289525,379585525.4029028
18,2025,,210770368.0,257179903.74976784,313193679.4789995,380674729.5802068,461823831.19047064
19,2026,,210770368.0,270298663.5247567,345791129.1963371,441306344.74349713,561879304.6153738
